key,es,en
ERR_MATCH_CODE_REQUIRED,Introduce un código de partida.,Enter a match code.
ERR_MATCH_CODE_NOT_FOUND,No existe ninguna partida privada con ese código.,No private match exists with that code.
ERR_ACTION_FAILED,Algo ha ido mal al procesar tu acción. Inténtalo de nuevo.,Something went wrong processing your action. Please try again.
ERR_REQUEST_FAILED,Algo ha ido mal al procesar tu solicitud. Inténtalo de nuevo.,Something went wrong processing your request. Please try again.
ERR_INVALID_PLAYER_COUNT,Número de jugadores no válido.,Invalid number of players.
ERR_UNKNOWN_DECK,Id de mazo desconocido.,Unknown deck id.
ERR_BEST_OF_3_REQUIRES_TWO,Las partidas al mejor de 3 requieren exactamente 2 jugadores.,Best-of-3 matches require exactly 2 players.
ERR_MESSAGE_NOT_UNDERSTOOD,El servidor no ha podido entender tu último mensaje.,Your last message could not be understood by the server.
ERR_ACTION_NOT_UNDERSTOOD,El servidor no ha podido entender tu última acción.,Your last action could not be understood by the server.
ERR_DECK_ALREADY_USED_IN_SERIES,Ese mazo ya ha sido usado en esta serie.,That deck has already been used in this series.
ERR_RIVAL_ALREADY_PICKED_DECK,Tu rival ya ha elegido ese mazo.,Your rival has already picked that deck.
HOME_SECTION_QUICK_MATCH,Partida rápida,Quick match
HOME_SECTION_BEST_OF_3,Mejor de 3,Best of 3
HOME_SECTION_REPORT_BUGS,Reportar bugs,Report bugs
HOME_SECTION_ABOUT_US,Sobre nosotros,About us
HOME_SECTION_GALLERY,Galería,Gallery
HOME_SECTION_STATS,Estadísticas,Statistics
HOME_SECTION_SET_NAME,Introduce tu nombre,Set your name here
HOME_SECTION_DISABLED_NAME,Introduce tu nombre para poder jugar,You must set your name in order to play
HOME_SECTION_CANCEL,Cancelar,Cancel
HOME_SECTION_BACK,Volver atrás,Go back
HOME_SECTION_SELECT_DECK,Selecciona tu maz  o,Select your deck
HOME_SECTION_SEARCHING_BOT,Preparando partida contra la máquina...,Creating bot match...
HOME_SECTION_CREATING_PRIVATE,Creando partida privada...,Creating private match...
HOME_SECTION_SEARCHING,Buscando partida...,Looking for a match...
HOME_SECTION_LOADING_DECKS,Cargando mazos...,Loading decks...
HOME_SECTION_PRIVATE_TITLE,Partida privada,Private match
HOME_SECTION_PRIVATE_WAITING,Comparte este código con tus amigos:,Share this code with your friends:
HOME_SECTION_PRIVATE_WAITING_JOIN,Esperando a que se completen los jugadores:,Waiting for other players to join:
HOME_SECTION_PRIVATE_PLAYERS,Jugadores,Players
HOME_SECTION_PRIVATE_HOST,(Eres el anfitrión),(You are the host)
HOME_SECTION_PRIVATE_WAITING_PLAYERS,Esperando jugadores...,Waiting for players...
HOME_SECTION_JOIN_PRIVATE,Unirse a una partida privada,Join private match
HOME_SECTION_JOIN,Unirse,Join
HOME_SECTION_JOINING,Uniéndose,Joining
HOME_SECTION_SUGGESTION,Envía una sugerencia / Reportar un error,Envía una sugerencia / Reportar un error,Send a suggestion / Bug report
HOME_SECTION_SUGGESTION_TEXT,No nos vendría mal algo de ayuda; este juego se encuentra en beta al fin de al cabo. Cualquier tipo de problema que hayas sufrido, o una sugerencia que quieras añadir a nuestro sistema, por favor explícalo en este recuadro de aquí delante (las sugerencias son anónimas. Nos dio pereza añadir un campo de nombre):,We would like some help. Any type of problem you may encountered please feel free to comment it here.
HOME_SECTION_SUGGESTION_PLACEHOLDER,Escribe aquí...,Write here...
HOME_SECTION_SEND,Enviar,Send
HOME_SECTION_ABOUT,Creado por,Created by:
HOME_SECTION_ABOUT_TEAM,CONOCE AL EQUIPO,MEET THE TEAM
GALLERY_SECTION_TITLE,Galería de cartas,Card's Gallery
GALLERY_SECTION_SUBTITLE,Explora todas las cartas y descubre sus poderes,Search all cards and their powers
GALLERY_SECTION_BACK,Volver al inicio,Return to home page
GALLERY_LOADING,Cargando cartas...,Loading cards...
